scholarship,university_transport,has_laptop,has_consulted_teacher,co_curricular,health_issues,study_hours,study_sessions,on_probation,is_suspended,skills_development_hours,current_gpa,performance_group,social_risk,gpa_improvement,study_time_per_Session,learning_mode_Offline,learning_mode_Online,english_proficiency_Advance,english_proficiency_Basic,english_proficiency_Intermediate,living_arrangement_Bachelor,living_arrangement_Family,attendance_bin_Low,attendance_bin_Medium,attendance_bin_High,income_bin_Low,income_bin_Medium,income_bin_High
1,0,1,1,0,0,2.0,2.0,1,0,1.0,3.64,Good,1.0,-0.1599999999999997,1.0,1,0,0,1,0,1,0,0,0,1,1,0,0
0,0,1,0,0,1,3.5,2.0,0,0,1.0,3.53,Good,0.5714285714285714,0.1299999999999999,1.75,1,0,0,1,0,1,0,0,0,1,1,0,0
1,1,1,1,1,0,2.0,1.0,0,0,3.0,3.89,Good,0.5,-0.040000000000000036,2.0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,1,0,0,1.0,2.0,0,0,1.0,3.5,Average,3.0,0.3999999999999999,0.5,0,1,1,0,0,0,1,0,0,1,1,0,0
1,0,1,1,1,0,3.0,2.0,0,0,1.0,3.65,Good,0.6666666666666666,-0.16000000000000014,1.5,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,1,1,1,1.5,1.5,0,0,1.0,3.81,Average,0.6666666666666666,-0.08000000000000007,1.0,0,1,1,0,0,1,0,0,1,0,1,0,0
0,0,1,1,0,0,3.0,2.0,0,0,2.0,3.82,Excellent,0.3333333333333333,0.029999999999999805,1.5,1,0,0,1,0,0,1,0,0,1,0,1,0
1,1,1,1,1,1,2.5,2.0,1,0,3.0,3.48,Good,1.6,-0.06999999999999984,1.25,0,1,0,0,1,0,1,0,0,1,1,0,0
1,1,1,1,1,1,2.0,1.0,0,0,2.0,3.32,Good,1.0,0.040000000000000036,2.0,0,1,0,0,1,1,0,0,0,1,1,0,0
0,0,1,0,0,0,2.5,2.0,0,0,1.0,3.88,Good,1.2,0.10000000000000009,1.25,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,1,0,1,0,2.5,2.0,0,0,1.0,4.0,Good,0.8,0.0,1.25,1,0,0,0,1,0,1,0,0,1,1,0,0
1,0,1,0,0,0,3.5,1.0,0,0,1.0,3.9,Excellent,0.5714285714285714,0.0,3.5,1,0,0,0,1,0,1,0,0,1,0,1,0
1,0,1,1,0,0,3.0,2.0,0,0,1.0,3.8,Average,1.6666666666666667,-0.040000000000000036,1.5,1,0,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,1,0,2.0,2.0,0,0,2.0,3.52,Poor,2.0,0.20999999999999996,1.0,1,0,0,0,1,1,0,1,0,0,0,0,1
1,0,1,1,0,0,1.0,1.0,0,0,2.0,3.67,Average,5.0,0.17999999999999972,1.0,1,0,0,0,1,1,0,0,1,0,1,0,0
0,0,1,1,0,0,4.0,1.0,0,0,2.0,2.74,Poor,0.5,-0.3299999999999996,4.0,0,1,0,0,1,1,0,0,0,1,1,0,0
0,1,1,1,0,0,3.0,1.0,0,0,1.0,3.5,Good,0.3333333333333333,-0.2599999999999998,3.0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1,1,0,0,0,3.0,2.0,0,0,2.0,2.8,Average,1.0,0.09999999999999964,1.5,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1,1,1,1,0,3.0,1.0,0,0,1.0,3.39,Good,0.3333333333333333,-0.2599999999999998,3.0,1,0,0,0,1,0,1,0,0,1,0,1,0
1,0,1,0,1,0,6.0,2.0,0,0,5.0,3.1,Average,0.5,-0.7399999999999998,3.0,1,0,0,0,1,1,0,0,0,1,1,0,0
1,0,0,1,1,0,3.0,1.0,0,0,1.0,3.58,Good,0.3333333333333333,0.08000000000000007,3.0,1,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,0,1,0,4.0,2.0,0,0,2.0,3.82,Excellent,0.5,0.43999999999999995,2.0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,1,0,2.0,3.0,1,0,1.0,2.69,Poor,1.5,0.8,0.67,1,0,0,1,0,1,0,0,0,1,1,0,0
1,0,0,1,1,0,7.0,3.0,0,0,1.0,3.77,Excellent,0.42857142857142855,0.06999999999999984,2.33,1,0,1,0,0,0,1,0,0,1,1,0,0
1,0,1,0,0,1,2.0,1.0,1,0,4.0,2.53,Poor,1.0,-0.5188888888888887,2.0,1,0,0,0,1,1,0,1,0,0,1,0,0
0,0,1,1,1,0,2.0,2.0,1,1,5.0,2.66,Poor,2.0,0.45999999999999996,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,1,0,1,1.5,2.0,1,0,4.0,2.6,Poor,2.6666666666666665,0.0,0.75,1,0,1,0,0,1,0,0,0,1,1,0,0
0,1,1,1,0,1,3.0,2.0,0,0,2.0,2.91,Average,1.0,0.20999999999999996,1.5,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,1,1,1,0,2.0,2.0,1,1,2.0,2.99,Average,0.5,0.1200000000000001,1.0,0,1,0,0,1,0,1,0,0,1,1,0,0
0,1,1,0,1,1,1.0,1.0,0,0,1.0,2.92,Poor,1.0,0.21999999999999975,1.0,1,0,0,0,1,0,1,1,0,0,1,0,0
0,1,1,0,0,1,3.5,2.0,1,0,2.0,2.96,Poor,0.2857142857142857,-0.020000000000000018,1.75,1,0,0,1,0,1,0,1,0,0,1,0,0
0,0,1,0,0,0,3.0,4.0,0,0,6.0,2.9,Average,0.6666666666666666,-0.6200000000000001,0.75,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,1,1,0,4.0,2.0,0,0,2.0,3.08,Average,0.75,-0.3999999999999999,2.0,1,0,0,0,1,1,0,0,0,1,1,0,0
0,0,1,1,1,0,6.0,4.0,1,0,4.0,2.68,Poor,0.3333333333333333,-0.48,1.5,0,1,1,0,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,2.5,3.0,1,0,1.0,2.42,Poor,0.4,0.5,0.83,1,0,0,1,0,0,1,0,0,1,0,1,0
0,1,1,1,0,0,5.0,3.5,0,0,2.0,3.23,Good,0.6,-0.06000000000000005,1.43,1,0,0,0,1,1,0,0,0,1,1,0,0
0,1,1,0,0,1,3.0,1.0,1,0,3.0,2.22,Poor,1.6666666666666667,0.2200000000000002,3.0,1,0,0,1,0,1,0,0,1,0,1,0,0
0,0,1,1,0,1,5.5,1.0,1,0,2.0,3.24,Average,0.5454545454545454,-0.05999999999999961,5.5,1,0,0,0,1,1,0,0,1,0,0,1,0
0,0,1,1,0,0,1.5,2.0,0,0,6.0,2.76,Poor,2.0,-0.25,0.75,0,1,0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,3.0,2.0,0,0,2.0,3.3,Good,1.0,0.09999999999999964,1.5,1,0,0,1,0,1,0,0,0,1,1,0,0
0,1,1,1,1,0,3.0,2.0,1,1,2.0,2.4,Poor,1.3333333333333333,0.0,1.5,1,0,0,1,0,0,1,1,0,0,0,1,0
1,1,1,0,1,0,4.5,2.0,0,0,1.0,2.75,Poor,0.4444444444444444,0.5899999999999999,2.25,1,0,0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,0,0,5.0,3.0,1,0,4.0,2.31,Poor,0.4,-0.7388888888888885,1.67,1,0,0,0,1,1,0,0,0,1,0,1,0
0,1,1,0,0,1,2.0,3.0,0,0,3.0,2.51,Poor,1.5,0.7599999999999998,0.67,1,0,0,1,0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,3.0,2.0,0,0,3.0,3.39,Average,0.6666666666666666,0.79,1.5,1,0,1,0,0,0,1,0,0,1,0,0,1
1,0,1,0,0,0,7.0,2.5,0,0,6.0,3.5,Good,0.14285714285714285,0.16999999999999993,2.8,1,0,0,0,1,1,0,0,0,1,1,0,0
0,0,1,0,1,0,3.0,2.0,0,0,2.0,3.92,Excellent,0.6666666666666666,-0.08000000000000007,1.5,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,1,1,0,6.0,3.0,0,0,3.0,3.25,Good,0.3333333333333333,0.0,2.0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,1,1,0,1.0,1.0,0,0,2.0,3.1,Average,1.0,-0.3599999999999999,1.0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,1.5,2.0,0,0,1.0,3.73,Average,1.3333333333333333,0.0,0.75,1,0,0,0,1,1,0,0,1,0,1,0,0
0,1,1,1,0,0,3.0,2.0,1,0,5.0,2.0,Poor,0.3333333333333333,0.0,1.5,0,1,0,1,0,0,1,0,0,1,1,0,0
1,1,1,1,1,0,2.0,1.0,0,0,1.0,3.56,Average,2.5,-0.21999999999999975,2.0,1,0,0,0,1,1,0,0,1,0,1,0,0
1,1,1,1,1,0,6.0,4.0,0,0,2.0,3.02,Average,0.16666666666666666,-0.3999999999999999,1.5,1,0,0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,1,4.0,3.5,1,0,1.0,3.2,Average,1.25,-0.2999999999999998,1.14,0,1,1,0,0,1,0,0,0,1,1,0,0
1,0,1,1,1,0,2.5,2.0,0,0,2.0,3.26,Good,1.2,0.0,1.25,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,0,0,0,2.5,2.0,1,0,1.0,3.8,Poor,0.8,-0.10000000000000009,1.25,1,0,0,1,0,0,1,1,0,0,1,0,0
1,1,1,0,0,0,2.0,1.0,0,0,1.0,3.68,Average,2.5,-0.020000000000000018,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,0,0,3.0,2.0,0,0,1.0,3.65,Good,1.0,-0.16999999999999993,1.5,1,0,0,0,1,1,0,0,0,1,1,0,0
1,0,1,0,1,0,5.0,2.0,0,0,2.0,3.72,Average,1.0,-0.1299999999999999,2.5,1,0,1,0,0,0,1,0,0,1,0,1,0
0,1,1,1,1,0,2.5,2.0,1,0,3.0,2.84,Average,1.2,-0.26000000000000023,1.25,1,0,1,0,0,1,0,0,0,1,1,0,0
1,0,0,1,0,0,2.0,2.0,0,0,0.0,2.67,Poor,3.0,0.0,1.0,0,1,0,0,1,1,0,0,0,1,1,0,0
0,1,1,0,0,0,3.0,2.0,0,0,1.0,3.6,Average,0.3333333333333333,-0.21999999999999975,1.5,1,0,0,0,1,1,0,0,1,0,1,0,0
1,1,1,0,1,0,5.0,2.0,0,0,1.0,3.72,Good,0.4,0.0,2.5,1,0,0,1,0,0,1,0,0,1,1,0,0
0,1,1,1,0,0,2.0,1.0,0,0,1.0,3.56,Good,1.0,0.050000000000000266,2.0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,0,0,1,0,1,7.0,3.5,0,0,5.0,3.35,Good,0.5714285714285714,-0.1299999999999999,2.0,0,1,0,0,1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,3.5,2.0,0,0,1.0,2.99,Average,0.8571428571428571,0.3400000000000003,1.75,1,0,0,1,0,1,0,0,0,1,0,1,0
0,1,1,1,1,0,6.5,3.5,0,0,5.0,3.42,Good,0.3076923076923077,-0.30000000000000027,1.86,0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,0,1,0,0,3.5,2.0,1,0,1.0,3.0406118143459917,Poor,0.8571428571428571,1.0806118143459917,1.75,0,1,0,1,0,1,0,0,1,0,1,0,0
1,1,1,1,1,0,2.0,3.0,0,0,2.0,3.6,Good,0.5,0.2200000000000002,0.67,1,0,1,0,0,0,1,0,0,1,0,1,0
0,1,1,0,1,0,7.0,2.0,1,0,1.0,2.8,Average,0.2857142857142857,0.0,3.5,0,1,0,0,1,0,1,0,1,0,1,0,0
0,0,1,1,0,1,5.0,2.0,0,0,2.0,3.59,Good,0.8,0.22999999999999998,2.5,0,1,0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,0,0,2.5,2.0,0,0,1.0,3.1,Average,1.6,-0.22999999999999998,1.25,1,0,0,0,1,1,0,0,1,0,1,0,0
0,0,1,1,1,1,1.5,1.0,1,0,2.0,2.54,Poor,1.3333333333333333,0.43000000000000016,1.5,0,1,0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,1,1.0,1.0,0,0,6.0,3.05,Poor,6.0,0.21999999999999975,1.0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,1,1,0,1,0,3.5,2.0,1,0,1.0,2.2,Poor,1.1428571428571428,0.0,1.75,0,1,0,0,1,0,1,0,0,1,1,0,0
0,1,1,1,1,0,6.0,2.0,0,0,3.0,3.22,Poor,1.0,0.020000000000000018,3.0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,1,0,4.0,2.0,1,0,2.0,3.2,Poor,0.25,0.3900000000000001,2.0,1,0,0,0,1,1,0,1,0,0,1,0,0
0,0,1,0,1,0,5.0,2.0,0,0,5.0,3.48,Good,0.4,0.0,2.5,1,0,0,1,0,1,0,0,0,1,1,0,0
1,0,1,0,0,1,5.5,1.0,0,0,4.0,3.39,Poor,1.0909090909090908,-0.6099999999999999,5.5,1,0,0,0,1,0,1,0,0,1,0,1,0
1,1,1,0,0,0,2.0,3.5,1,0,4.0,4.0,Poor,3.0,0.0,0.57,1,0,0,1,0,0,1,0,0,1,1,0,0
1,1,1,0,0,0,4.0,2.0,0,0,1.0,3.5,Poor,1.5,-0.20000000000000018,2.0,1,0,0,0,1,1,0,0,0,1,0,1,0
1,1,1,0,0,0,4.0,3.0,0,0,3.0,3.0406118143459917,Poor,1.25,-0.6393881856540085,1.33,1,0,0,0,1,0,1,0,0,1,1,0,0
1,0,1,0,0,0,5.0,2.0,0,0,2.0,3.3,Good,0.4,0.0,2.5,1,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,1,0,4.5,2.0,0,0,6.0,3.1,Average,0.4444444444444444,-0.75,2.25,0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,0,0,2.0,2.0,0,0,5.0,3.78,Good,1.5,-0.2200000000000002,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,4.0,2.0,0,0,2.0,2.91,Average,0.25,-0.06999999999999984,2.0,1,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,0,1,0,5.0,2.0,0,0,4.0,3.75,Poor,1.4,0.10999999999999988,2.5,1,0,1,0,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,6.5,2.0,0,0,2.0,3.58,Good,0.15384615384615385,0.020000000000000018,3.25,1,0,0,0,1,1,0,0,0,1,1,0,0
0,1,1,1,0,0,1.0,1.0,0,0,1.0,3.1,Poor,2.0,1.4200000000000002,1.0,1,0,1,0,0,0,1,1,0,0,1,0,0
0,1,1,0,0,0,3.0,3.0,0,0,2.0,2.54,Poor,1.6666666666666667,0.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0,1,0,0,0,7.0,3.0,0,0,1.0,3.9,Excellent,0.14285714285714285,0.0,2.33,1,0,0,1,0,1,0,0,0,1,0,1,0
1,1,1,1,0,0,6.0,3.0,0,0,1.0,3.77,Excellent,0.5,-0.06999999999999984,2.0,1,0,0,1,0,0,1,0,0,1,0,1,0
1,1,1,1,1,1,1.0,2.0,0,0,6.0,3.39,Poor,7.0,-0.29000000000000004,0.5,1,0,0,0,1,1,0,1,0,0,1,0,0
1,1,1,0,0,0,2.0,1.0,0,0,2.0,3.14,Average,1.0,0.0,2.0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,4.5,2.0,0,0,1.0,3.23,Good,0.8888888888888888,-0.45999999999999996,2.25,1,0,0,0,1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,3.0,2.0,0,0,6.0,3.08,Average,0.3333333333333333,0.3500000000000001,1.5,0,1,0,0,1,1,0,0,0,1,1,0,0
0,0,1,0,0,0,2.5,2.0,0,0,3.0,3.0,Average,0.4,-0.48,1.25,0,1,0,0,1,1,0,0,1,0,1,0,0
1,1,1,1,1,0,5.0,2.0,0,0,2.0,3.39,Poor,1.4,0.7800000000000002,2.5,0,1,0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,1,0,1.0,1.0,1,0,1.0,2.68,Poor,2.0,-0.11999999999999966,1.0,1,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,1.5,3.0,1,0,2.0,2.15,Poor,2.0,0.6299999999999999,0.5,1,0,0,1,0,1,0,0,0,1,1,0,0
0,0,1,1,1,0,2.0,2.0,0,0,2.0,3.08,Average,1.5,-0.040000000000000036,1.0,1,0,0,0,1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,5.0,3.5,0,0,3.0,3.33,Good,0.2,-0.3500000000000001,1.43,1,0,0,0,1,0,1,0,0,1,1,0,0
1,0,1,0,0,0,2.5,2.0,0,0,2.0,3.72,Good,0.4,0.3600000000000003,1.25,0,1,0,1,0,1,0,0,0,1,1,0,0
1,0,1,0,0,0,1.0,1.0,0,0,2.0,3.83,Average,4.0,0.0,1.0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1,1,1,0,0,4.0,2.0,0,0,4.0,2.98,Poor,0.25,1.0,2.0,0,1,0,0,1,0,1,0,0,1,1,0,0
0,1,1,0,0,1,3.5,2.0,0,0,2.0,3.39,Good,0.5714285714285714,0.020000000000000018,1.75,1,0,0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,0,5.0,3.0,0,0,2.0,3.39,Good,0.6,-1.1099999999999999,1.67,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,3.5,2.0,0,0,2.0,2.84,Average,0.8571428571428571,0.04999999999999982,1.75,0,1,0,1,0,0,1,0,0,1,1,0,0
1,0,1,1,1,0,5.5,3.5,0,0,1.0,3.65,Good,0.5454545454545454,0.1299999999999999,1.57,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,1,0,0,1.5,2.0,0,0,1.0,3.79,Average,1.3333333333333333,-0.06000000000000005,0.75,0,1,0,0,1,0,1,0,0,1,1,0,0
1,0,1,0,1,1,4.0,2.0,1,0,2.0,2.89,Poor,1.25,-0.11999999999999966,2.0,0,1,1,0,0,1,0,1,0,0,0,1,0
1,0,1,1,0,0,3.5,2.0,0,0,2.0,3.18,Average,0.5714285714285714,0.0,1.75,1,0,1,0,0,0,1,0,0,1,0,1,0
1,1,1,1,1,0,5.0,3.5,0,0,2.0,3.89,Average,1.0,0.16999999999999993,1.43,1,0,0,0,1,1,0,0,0,1,0,1,0
1,1,0,1,0,1,3.5,2.0,0,0,3.0,2.9,Poor,2.0,0.10000000000000009,1.75,0,1,0,0,1,0,1,1,0,0,0,0,1
1,0,1,1,0,0,2.0,2.0,0,0,1.0,3.56,Good,1.5,0.14000000000000012,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0
1,0,1,0,0,0,3.5,2.0,0,0,1.0,3.03,Poor,0.8571428571428571,0.5399999999999996,1.75,1,0,0,1,0,1,0,0,1,0,1,0,0
0,1,1,1,0,0,2.0,1.0,0,0,1.0,4.67,Good,1.5,0.08000000000000007,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0
1,1,1,1,0,1,3.0,2.0,0,0,1.0,3.67,Good,0.6666666666666666,-0.18999999999999995,1.5,1,0,0,0,1,0,1,0,0,1,1,0,0
1,1,1,0,1,0,6.0,3.5,0,0,2.0,3.7,Good,0.3333333333333333,-0.11999999999999966,1.71,0,1,0,0,1,0,1,0,0,1,0,1,0
1,0,1,1,0,0,2.0,1.0,0,0,1.0,3.1,Average,1.0,-0.48,2.0,0,1,0,0,1,0,1,0,1,0,1,0,0
0,0,1,1,0,0,5.5,2.0,0,0,2.0,2.8,Average,0.36363636363636365,0.22999999999999998,2.75,1,0,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,1,1,5.0,2.0,0,0,2.0,3.92,Excellent,0.4,0.06000000000000005,2.5,1,0,1,0,0,1,0,0,0,1,1,0,0
0,0,1,1,1,0,3.0,1.0,0,0,1.0,3.0406118143459917,Poor,1.0,-0.9593881856540083,3.0,1,0,0,0,1,1,0,0,1,0,1,0,0
0,0,1,0,1,0,1.0,2.0,1,0,1.0,3.4,Average,2.0,0.2999999999999998,0.5,0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,0,1,1.0,2.0,0,0,1.0,3.65,Average,1.0,-0.03000000000000025,0.5,1,0,0,1,0,0,1,0,0,1,0,1,0
1,1,1,1,0,0,7.0,2.0,0,0,0.0,3.4,Poor,0.42857142857142855,0.0,3.5,1,0,0,1,0,0,1,1,0,0,1,0,0
1,1,1,1,0,1,4.0,2.0,0,0,2.0,2.95,Poor,0.5,0.5,2.0,1,0,1,0,0,0,1,1,0,0,0,1,0
0,1,1,1,0,0,2.5,2.0,1,0,1.0,2.89,Poor,1.2,0.4900000000000002,1.25,1,0,0,0,1,0,1,0,1,0,1,0,0
1,1,1,1,1,0,4.5,2.0,0,0,3.0,3.2,Good,0.2222222222222222,-0.27,2.25,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1,1,0,0,0,1.0,1.0,0,0,1.0,3.05,Average,1.0,0.52,1.0,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,0,1,1,1,1.0,1.0,1,0,1.0,2.72,Poor,3.0,0.16000000000000014,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,2.5,2.0,1,0,2.0,2.56,Poor,0.4,0.20000000000000018,1.25,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,1,1,0,0,2.5,2.0,0,0,1.0,2.73,Poor,0.4,-0.45999999999999996,1.25,0,1,0,0,1,1,0,0,0,1,1,0,0
0,1,1,0,0,0,6.0,3.0,0,0,2.0,3.07,Average,0.3333333333333333,-0.03000000000000025,2.0,1,0,0,1,0,0,1,0,0,1,0,1,0
1,0,1,0,1,0,4.5,2.0,0,0,2.0,3.0,Average,1.1111111111111112,-0.2799999999999998,2.25,1,0,0,0,1,1,0,0,0,1,0,1,0
1,0,1,1,1,0,5.0,2.0,0,0,1.0,3.6,Good,0.6,0.0,2.5,1,0,0,1,0,1,0,0,0,1,1,0,0
1,0,1,1,0,0,3.5,1.0,0,0,1.0,3.7,Good,0.2857142857142857,-0.04999999999999982,3.5,1,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1.0,1.0,0,0,2.0,3.92,Average,3.0,0.06999999999999984,1.0,0,1,0,0,1,0,1,0,0,1,1,0,0
1,1,1,0,0,0,3.5,2.0,0,0,1.0,2.68,Poor,0.5714285714285714,0.0,1.75,1,0,0,1,0,0,1,0,0,1,0,1,0
1,0,1,1,0,0,3.0,2.0,0,0,3.0,3.18,Average,0.3333333333333333,0.0,1.5,0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,0,0,2.0,1.0,0,0,2.0,3.4,Good,0.5,0.009999999999999787,2.0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,0,1,3.5,1.0,0,0,1.0,3.38,Good,1.1428571428571428,0.3999999999999999,3.5,0,1,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,7.0,2.0,1,0,5.0,3.39,Good,0.42857142857142855,-0.31000000000000005,3.5,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1,1,1,0,0,1.0,2.0,1,0,2.0,2.95,Average,2.0,-0.2999999999999998,0.5,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,1,0,0,0,2.5,1.0,0,0,1.0,3.21,Good,1.2,0.18000000000000016,2.5,0,1,0,1,0,0,1,0,0,1,1,0,0
0,0,1,0,0,0,2.0,2.0,0,0,1.0,3.18,Average,1.5,0.08000000000000007,1.0,1,0,0,0,1,1,0,0,0,1,0,1,0
1,1,1,1,0,0,2.0,1.0,0,0,1.0,3.7,Good,1.5,0.0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,1
1,1,1,1,1,0,7.0,3.5,1,0,4.0,4.0,Poor,0.8571428571428571,0.0,2.0,1,0,0,0,1,0,1,1,0,0,1,0,0
1,1,1,1,1,0,1.5,2.0,0,0,1.0,3.45,Average,1.3333333333333333,0.27,0.75,1,0,0,0,1,1,0,0,1,0,1,0,0
1,1,1,1,0,0,3.0,2.0,0,0,1.0,3.74,Good,1.0,0.13000000000000034,1.5,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,2.0,1.0,0,0,1.0,3.22,Poor,0.0,0.2100000000000004,2.0,0,1,0,0,1,0,1,1,0,0,0,1,0
0,1,1,0,0,1,2.0,2.0,0,0,2.0,3.36,Average,2.5,0.10000000000000009,1.0,1,0,0,1,0,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1.0,1.0,0,0,2.0,3.72,Average,2.0,0.1200000000000001,1.0,1,0,0,0,1,1,0,0,0,1,0,0,1
0,0,1,0,0,1,2.0,3.0,0,0,2.0,3.01,Average,1.5,-0.11000000000000032,0.67,1,0,0,1,0,1,0,0,0,1,0,1,0
